FID	id	secteur	commune	antenne_mairie	adresse	perimetre_pave	type_dechet_code	type_dechet	type_conteneur_code	type_conteneur	volume_m3	marque	modele	modele_info_sup	type_avaloir	type_collecteur	nom_collecteur	etat	etat_info_sup	date_info_etat	date_instal_conteneur_sup	type_installation	date_renouvellement_materiel	x_longitude	y_latitude	geom
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31a8	6	Grand-Sud	Claix		17 Chemin de Risset / Déchèterie		VER	verre	CA	aérien	3	UTPM	Ecobox				???	Usé	UTPM_Ecobox_3_A_c				???	5.671862	45.113054	POINT (5.671861955550952 45.11305446065476)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31af	5	Grand-Sud	Claix		17 Chemin de Risset / Déchèterie		VER	verre	CA	aérien	3	UTPM	Ecobox				???	Usé	UTPM_Ecobox_3_A_c				???	5.671816	45.113039	POINT (5.671815607818495 45.11303875274553)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31fe	14	Grand-Sud	Claix		2 Chemin de l'Abbé / Groupe scolaire de Malhivert		VER	verre	CA	aérien	3	UTPM	Ecobox	matériel neuf : non			2018-09-12	Sale	UTPM_Ecobox_3_A_c				2018-09-12	5.666895	45.132934	POINT (5.666894747333655 45.132933653783496)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_31ff	13	Grand-Sud	Claix		Place du Champ de Foire		VER	verre	CA	aérien	3	UTPM	Ecobox					Sale	UTPM_Ecobox_3_A_c					5.670659	45.118902	POINT (5.670659335960262 45.11890221880687)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3202	1071	Grand-Sud	Claix		Rue de la Balme / Allée du Gros Chêne / dans logette à côté transfo		VER	verre	CA	aérien	3	UTPM	Ecobox					Sale	UTPM_Ecobox_3_A_c		2012 (mai)			5.681017	45.12565	POINT (5.681017162282652 45.12564976285453)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_321d	1064	Grand-Sud	Claix		16 Rue de l'Industrie / Commerce produits fermiers / ZI des Bauches		VER	verre	CA	aérien	4	SNNECO	Eco-DI/Eco-Bois					Bon	SNNECO_Ecobois/EcoDI_4_A_c		2012 (janvier)			5.681624	45.112223	POINT (5.681624223649502 45.11222271197697)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3229	1072	Grand-Sud	Claix		Rue de la Croix de Chamrousse / Av du Pont Rouge		VER	verre	CA	aérien	3	Citec	Cyclea	matériel neuf : non			2018-09-12	Sale	Citec_Cyclea_3_A_c		2012 (mai)		2018-09-12	5.688895	45.118476	POINT (5.688894868170071 45.118475847286845)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3236	1	Grand-Sud	Claix		Rue du Drac / Rue de l'Europe		VER	verre	CA	aérien	3	Citec	Cyclea	matériel neuf : non			2018-09-12	Sale	Citec_Cyclea_3_A_c				2018-09-12 (?)	5.691679	45.12236	POINT (5.691679262931186 45.122359653828816)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_34bf	1267	Grand-Sud	Claix		23 Route du Château		VER	verre	CA	aérien	3	Quadria	Linéance					Sale	Quadria_Linéance_3_A_c		2017-11-16			5.665879	45.109544	POINT (5.6658793854291405 45.10954412971772)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_3541	1323	Grand-Sud	Claix		Rue de la Ronzy / Avenue de Belledonne		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 Crochet V2062A							2019-05-15	Nouveau site de collecte		5.675969097	45.120735437	POINT (5.675969096589402 45.120735478105324)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359a	2	Grand-Sud	Claix		Place Jean Monnet / Parking supermarché Carrefour Market		VER	verre	CA	aérien	4	Quadria	Linéance	matériel neuf : oui			2018-09-12	Sale	Quadria_Lineance_4_A_c				2018-09-11	5.693215	45.118809	POINT (5.6932153409552395 45.11880857563897)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359b	9	Grand-Sud	Claix		8 Chemin de Risset / Parc et complexe sportif de la Bâtie		VER	verre	CA	aérien	4	Citec	Cyclea					Sale	Citec_Cyclea_4_A_c					5.671979	45.111603	POINT (5.671979378097599 45.11160297998728)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359c	10	Grand-Sud	Claix		8 Chemin de Risset / Parc et complexe sportif de la Bâtie		VER	verre	CA	aérien	4	Citec	Cyclea					Sale	Citec_Cyclea_4_A_c					5.671984	45.111546	POINT (5.6719841442209 45.111546055254216)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359d	3	Grand-Sud	Claix		Place Jean Monnet / Parking supermarché Carrefour Market		VER	verre	CA	aérien	4	Quadria	Linéance	matériel neuf : oui			2018-09-12	Sale	Quadria_Lineance_4_A_c_V1888A				2018-09-11	5.69328	45.118824	POINT (5.6932803825572735 45.11882373874742)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359e	11	Grand-Sud	Claix		Chemin de Jayères / Chemin de Savoyères		VER	verre	CA	aérien	4	SNNECO	Eco-DI/Eco-Bois					Sale	SNNECO_EcoBois/EcoDI_4_A_c					5.658668	45.11716	POINT (5.658667797405456 45.11715956763313)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_359f	4	Grand-Sud	Claix		Place Jean Monnet / Parking supermarché Carrefour Market		VER	verre	CA	aérien	3	Quadria	Linéance	matériel neuf : oui			2018-09-12	Sale	Quadria_Lineance_3_A_c				2018-09-11	5.693242	45.11881	POINT (5.693242137940288 45.11880970029392)
v_opendata_ctd_pav_tous.fid-26c1a268_16ee07256af_35a0	8	Grand-Sud	Claix		2 Rue de Rochefort / Salle Pont Rouge		VER	verre	CA	aérien	3	Quadria	Linéance	Quadria 3m3 crochet V1870A			2018-09-12	Sale	Quadria_Lineance_3_A_c				2018-09-11	5.692435	45.116008	POINT (5.692435405388876 45.116007960585)
